turbine id,lat_long,manufacturer,power(kW)
65,78.594937_-61.370241,GE:,9953.91
66,53.253846_57.055918,NG:,4744.81
67,79.252242_-139.862945,NG:,1913.36
68,76.07594_-86.316065,MHI:,7609.11
69,60.822608_-83.35809,GOLD:,4652.3
70,53.36755_52.737429,NG:,7831.07
71,-24.359619_157.0367,GOLD:,75.38
72,42.582338_-140.44416,GOLD:,9535.45
73,18.97226_58.12687,EN:,1857.15
74,16.447949_-98.920432,SUZ:,3922.54
75,60.851019_97.075304,SUZ:,3413.02
76,-39.729758_99.186435,MHI:,1432.07
77,-22.221868_-73.874886,SG:,1777.46
78,6.496334_-50.60708,NG:,6148.53
79,59.520771_41.811055,MHI:,4429.82
80,-3.862037_-22.783822,VWS:,9068.87
81,-6.015851_22.590378,SUZ:,6858.81
82,-26.859805_-170.104467,SGRE:,9900.89
83,-85.92058_30.020071,SUZ:,1775.51
84,12.07873_40.140679,SUZ:,1519.6
85,-53.189687_55.944548,GOLD:,5119.33
86,-33.607819_-13.935542,LM:,1926.52
87,14.567677_-131.93172,NG:,4080.58
88,-30.077964_68.469411,SUZ:,4333.04
89,-60.476076_-118.04875,NG:,7047.91
90,58.371462_76.609091,SGRE:,8044.01
91,-15.310805_-21.974568,SG:,2991.11
92,-68.924571_170.044744,SUZ:,5129.3
93,-44.253089_-54.736103,SUZ:,6263.21
94,44.968438_13.569889,MHI:,1315.08
95,74.290742_104.462257,SG:,5443.27
96,-36.864834_-164.510581,LM:,2450.81
97,76.156694_-54.736834,SG:,824.72
98,-15.696699_12.811366,SUZ:,7850.05
99,15.66979_119.716433,SG:,6820.6
100,-75.695962_-17.390036,LM:,5149.68
101,-76.044097_22.378269,GOLD:,2025.53
102,1.382949_153.608632,GE:,7683.49
103,14.775302_151.389842,VWS:,1203.75
104,9.572948_-40.029854,LM:,2204.38
105,-79.552055_-34.854565,SGRE:,1087.44
106,-53.417827_-142.976848,SGRE:,1817.18
107,-87.496153_17.465512,MHI:,8401.12
108,73.744809_-63.392043,NG:,8262.82
109,65.952331_-140.238382,SG:,4369.88
110,74.311314_-99.613658,GOLD:,5040.46
111,-32.233506_-81.154125,NG:,8089.28
112,-31.804705_179.815878,VWS:,3881.1
113,85.020258_-59.200047,NG:,982.3
114,63.414712_-24.722311,SUZ:,293.54
115,11.605785_43.19816,SUZ:,346.18
116,-79.226416_-164.252506,SUZ:,89.33
117,38.284994_-95.692994,NG:,2350.27
118,41.033956_-163.55024,VWS:,9352.45
119,54.571627_80.864264,GE:,6410.67
120,20.647797_-4.447039,EN:,6333.42
121,63.537076_-147.017225,GOLD:,7834.74
122,50.362864_-63.122468,MHI:,3233.08
123,1.546486_40.926104,EN:,9565.08
124,34.07818_60.702963,SUZ:,3696.01
125,-65.536296_178.984793,SGRE:,5740.81
126,88.400597_-98.727935,LM:,4217.12
127,32.761474_32.317847,VWS:,4441.19
128,62.718297_8.780221,SG:,1246.67
129,13.950523_157.716387,SGRE:,138.89
130,31.847797_-101.509955,GE:,1393.94
131,69.683508_6.259727,GOLD:,3124.78
132,-67.883275_116.902767,SUZ:,9239.99
133,-80.820699_80.292395,GE:,27.4
134,-77.015595_-87.259405,GOLD:,877.5
135,-72.289306_-84.210089,GOLD:,2354.49
136,-4.005982_-79.211219,SG:,9476.03
137,-3.228412_163.429041,EN:,8867.12
138,23.826568_163.132762,SGRE:,7864.77
139,-34.589008_142.004985,GOLD:,3204.07
140,-31.896585_-22.281255,GOLD:,7686.24
141,31.963783_76.760384,GE:,5557.82
142,40.659538_-101.401917,EN:,3498.11
143,17.447381_124.523096,SGRE:,102.57
144,-34.620325_-151.665651,SGRE:,5728.18
145,35.170843_-8.274307,SUZ:,3077.11
146,6.768224_-150.619766,VWS:,6537.78
147,27.415579_52.714585,SGRE:,5890.48
148,6.397035_178.334833,SG:,6114.34
149,87.679451_-68.239812,LM:,1749.4
150,78.560379_164.542595,SUZ:,1384.16
151,-33.695298_-91.488331,GE:,1301.39
152,-72.532371_-156.381324,EN:,7987.01
153,-61.058209_-153.236935,SGRE:,9235.66
154,-88.572882_-119.992356,EN:,2559.81
155,-49.379337_-29.711975,SUZ:,2053.02
156,-81.969067_167.10482,SG:,4442.42
157,-10.829582_-27.883699,SUZ:,6036.15
158,20.199738_12.05021,SGRE:,2524.71
159,-66.537264_2.419857,GE:,2118.86
160,-62.77351_154.324417,MHI:,4899.25
161,-28.186755_-27.321657,SUZ:,4838.05
162,-88.376844_148.138108,VWS:,133.3
163,49.323799_-5.790095,MHI:,1358.29
164,64.057084_-79.6185,SUZ:,8037.18
165,19.974979_-35.577359,GE:,2462.32
166,36.466215_-130.939386,SG:,1467.9
167,-4.658505_-168.751838,LM:,6591.5
168,-50.817449_126.98872,NG:,2953.45
169,20.107155_-9.950903,VWS:,9558.78
170,17.918745_-179.892962,SG:,3857.7
171,-66.101482_-47.462837,SGRE:,1276.07
172,24.26746_-139.006685,VWS:,1108.57
173,51.63323_135.64828,SG:,1574.97
174,-46.92929_-150.317881,SGRE:,351.86
175,43.524354_62.796453,MHI:,3084.5
176,2.043061_-111.413123,SUZ:,8665.52
177,5.532539_116.924819,VWS:,8525.17
178,14.45333_-17.545894,GOLD:,7094.69
179,-71.540633_80.149623,LM:,3035.13
180,48.384005_-159.32056,LM:,9655.31
181,3.505278_-16.558706,LM:,616.89
182,25.872678_-140.442833,VWS:,312.1
183,65.677811_-107.102486,LM:,1833.82
184,40.289274_134.701975,MHI:,1775.18
185,-53.555486_-147.934184,GE:,4436.17
186,-63.058269_3.074207,SG:,9116.02
187,-11.123627_148.452607,GOLD:,4996.39
188,-60.23619_-43.125681,LM:,150.16
189,44.675482_-71.954832,GE:,1809.72
190,22.888793_172.790347,SGRE:,5904.24
191,16.790791_-96.437457,GE:,230.16
192,-35.609792_-76.143156,SUZ:,5907.8
193,-86.340367_-19.80962,GE:,7602.07
194,78.27023_170.595573,SGRE:,904.27
195,74.290416_46.628289,EN:,9309.53
196,-54.281538_141.971822,LM:,1601.18
197,-66.175672_11.061507,NG:,7532.66
198,26.003223_-48.234549,LM:,7780.8
199,37.933925_128.581901,SG:,6624.53
200,22.80068_-177.030905,NG:,9507.86
201,77.944019_-68.754177,NG:,9547.74
202,80.533829_-131.273728,VWS:,4883.08
203,37.277992_164.124131,GE:,4152.39
204,11.415864_-31.268662,EN:,2185.43
205,55.317882_-77.216972,LM:,8065.2
206,5.17018_-173.01927,SUZ:,6050.29
207,37.600685_-166.232548,MHI:,9561.59
208,77.533092_67.577605,GE:,2010.11
209,58.96814_164.326843,GE:,76.28
210,71.366612_13.90118,NG:,8054.56
211,-10.988105_-135.931277,SUZ:,5253.02
212,58.33156_-175.617127,VWS:,4742.96
213,-24.528057_-21.324506,MHI:,9778.16
214,22.15571_50.061808,EN:,2483.87
215,6.00111_119.738213,NG:,3883.97
216,-18.18816_-144.667849,MHI:,8214.24
217,79.800391_139.252705,SGRE:,1709.94
218,54.558828_-77.746943,SGRE:,3032.68
219,-56.037615_-169.888057,LM:,7617.27
220,16.211368_-76.219137,GE:,7421.34
221,-69.481773_-23.033033,GE:,8907.5
222,59.412572_-83.725041,GE:,7716.25
223,18.331265_4.837071,LM:,8366.98
224,-18.555776_28.770378,SGRE:,8497.66
225,51.425174_-140.928213,SG:,3846.96
226,-36.409192_132.206215,EN:,7017.46
227,-39.948634_-5.956289,VWS:,1961.65
228,66.274109_-86.251661,EN:,5906.17
229,78.731666_-91.673832,GOLD:,9929.46
230,1.00504_90.333274,GOLD:,1212.53
231,65.970819_12.55829,NG:,3410.51
232,-51.929053_-156.348739,EN:,6804.86
233,26.352648_178.055635,LM:,1827.53
234,82.365916_-89.080703,MHI:,5366.94
235,-7.610104_66.39441,SUZ:,3005.06
236,-57.085875_-100.341915,SUZ:,7632.5
237,52.989727_158.774768,SUZ:,8732.08
238,8.772782_34.324474,VWS:,2642.13
239,-66.126992_123.692587,SG:,8305.43
240,3.853078_176.438884,VWS:,3166.52
241,-82.522526_-130.096376,EN:,3415.75
242,-16.912448_-48.402039,SGRE:,6771.56
243,-43.307087_0.403128,GE:,9798.46
244,17.716018_98.88816,MHI:,7860.96
245,-58.979602_139.845999,NG:,7416.78
246,64.355284_-133.779397,NG:,4836.43
247,-59.63328_25.561655,GOLD:,5979.87
248,-81.853008_-14.837877,NG:,2906.24
249,-31.225993_18.648261,EN:,3734.44
250,17.131652_81.706526,SUZ:,2622.94
251,-47.505824_-109.638765,VWS:,3692.29
252,7.055942_-128.70937,GOLD:,5756.24
253,52.607312_-128.796344,MHI:,9898.71
254,-73.595485_47.708335,GOLD:,1919.85
255,-79.876706_142.45219,MHI:,9566.89
256,41.623734_76.125501,GOLD:,9060.5
257,-54.740477_-165.924001,VWS:,9777.19
258,-44.03143_-45.464898,EN:,7182.33
259,-18.364068_152.819192,MHI:,8208.18
260,-39.860235_40.471929,SGRE:,2900.14
261,84.614885_133.09757,GE:,4546.07
262,52.635629_-8.40483,NG:,4388.12
263,14.617829_-142.627178,EN:,3616.25
264,6.19907_73.385681,GOLD:,5799.76
265,-56.827718_-86.60191,SUZ:,7704.08
266,-41.739527_22.049646,SGRE:,6417.77
267,-4.183384_-112.215689,SUZ:,9856.07
268,-36.108049_-100.206936,NG:,8118.13
269,87.406956_-107.30119,EN:,347.36
270,19.647313_-136.672252,EN:,8117.18
271,40.558701_-130.867171,SUZ:,2248.91
272,0.190806_22.368105,VWS:,2419.18
273,-74.519076_-6.859894,VWS:,1732.58
274,-71.885935_169.050627,EN:,9903.7
275,72.376693_-174.757304,MHI:,5217.9
276,-33.757402_-141.912756,SGRE:,8667.85
277,-85.776101_-64.456955,NG:,9509.54
278,-53.729331_138.427671,VWS:,6322.19
279,12.49044_157.705314,GOLD:,7002.52
280,23.150549_89.238638,VWS:,2040.03
281,-0.716187_175.064585,SGRE:,4530.75
282,-1.404483_170.199264,SUZ:,9714.85
283,-41.921299_-80.523121,GE:,24.12
284,27.25462_14.314119,SUZ:,621.12
285,-64.607167_152.590599,SUZ:,2976.62
286,24.480035_75.140386,MHI:,5271.05
287,-5.514272_59.270329,GE:,8356.99
288,-19.691982_19.157447,LM:,8479.37
289,3.938715_-140.065245,VWS:,3467.15
290,-81.032601_151.934039,SUZ:,433.84
291,-17.287389_-85.021905,NG:,4607.08
292,-2.342279_138.65018,SGRE:,7084.3
293,-72.22945_-86.827415,GE:,1449.65
294,87.561826_106.885587,SUZ:,2448.91
295,88.383375_-136.876431,GE:,9989.93
296,86.756397_91.521191,EN:,7360.82
297,-5.749957_125.098001,SGRE:,8189.91
298,28.667139_159.915547,VWS:,87.83
299,-36.045452_142.214799,SGRE:,8046.91
300,6.67568_-107.353312,EN:,9349.66
301,46.001298_-116.382605,MHI:,2420.44
302,68.252175_-76.642972,GE:,1500.54
303,-15.182627_61.972383,EN:,5737.81
304,86.350675_178.735202,LM:,6841.09
305,-44.906309_-3.203292,SG:,2429.09
306,-77.378211_-179.270985,SG:,8490.14
307,49.136874_-125.388643,NG:,2070.41
308,11.015127_22.780578,NG:,6651.96
309,82.899668_38.90012,SUZ:,8190.48
310,59.807704_-125.616408,GE:,6472.42
311,-37.060962_-88.776356,EN:,5434.32
312,37.861078_171.904042,NG:,1207.29
313,-66.547656_78.980452,SG:,6806.6
314,63.119391_156.783857,GE:,3823.85
315,-47.827024_121.216394,SGRE:,197.31
316,-43.807943_59.856256,SUZ:,9596.08
317,-1.733942_-127.048432,NG:,5317.91
318,-76.657169_-10.050221,EN:,1537.48
319,-50.225008_-113.293014,NG:,1842.4
320,53.327467_149.864834,SGRE:,2423.45
321,-31.866045_-115.327049,SGRE:,5194.27
322,69.552784_27.9715,GOLD:,3628.14
323,-47.603588_-83.627882,GE:,4660.49
324,-48.069861_16.774418,SG:,6644.43
325,44.601482_-115.736811,SGRE:,9953.61
326,43.043687_-86.791891,NG:,9894.39
327,66.843539_16.961412,GE:,6058.33
328,44.310317_-90.353858,SGRE:,9061.09
329,-24.105344_67.273999,GE:,7116.52
330,-81.28742_143.128792,VWS:,4374.18
331,86.899841_-84.415304,SUZ:,5017.51
332,-85.632214_-13.240859,NG:,7043.32
333,-34.007143_25.097936,GOLD:,1143.48
334,-28.735972_-54.210341,EN:,7797.94
335,76.066258_-119.705395,MHI:,3973.88
336,-38.971264_39.667979,EN:,5725.89
337,-74.301212_67.88955,SG:,8614.35
338,11.055264_173.318281,NG:,7733.47
339,-34.574205_89.664571,SG:,7232.51
340,-41.199088_57.86217,GE:,2419.72
341,33.845048_-75.381337,SG:,8382.62
342,55.483351_119.03658,GOLD:,4966.25
343,-70.335363_-38.745544,SGRE:,4353.81
344,88.247429_13.813605,VWS:,3951.82
345,35.354061_-166.872985,VWS:,4552.89
346,38.059043_170.348605,MHI:,4631.76
347,57.901634_-141.502376,MHI:,7909.1
348,-13.134475_12.757599,LM:,2565.75
349,-41.693519_-125.571877,SG:,8507.98
350,77.378651_-35.141345,VWS:,5546.2
351,62.133157_157.217719,SGRE:,8815.81
352,34.7568_-10.153796,NG:,7417.03
353,-48.615263_45.331694,SG:,6695.21
354,54.139724_132.776517,SUZ:,3834.81
355,-31.1891_-46.546105,SGRE:,3385.34
356,57.39666_24.243579,SGRE:,7221.64
357,-67.200654_5.005849,EN:,1961.41
358,-86.83321_-85.540646,SGRE:,7711.58
359,65.354748_32.872841,LM:,8684.39
360,-43.9585_105.34458,VWS:,1600.54
361,-48.536102_154.080525,SUZ:,6658.84
362,-75.983436_-160.847216,EN:,6934.54
363,-58.557693_92.666138,EN:,502.02
364,-6.918247_35.37851,GOLD:,5399.02
365,-21.642956_123.26923,GE:,5106.0
366,52.793421_-71.284015,GE:,6896.33
367,17.296252_25.572117,VWS:,6702.2
368,36.590662_51.819442,MHI:,4935.54
369,-34.58762_-171.466202,SG:,152.37
370,-56.198351_-33.891688,NG:,3594.59
371,-47.471745_-169.190578,GE:,8621.24
372,30.133511_-85.253275,SGRE:,6594.97
373,-30.558543_125.873388,MHI:,3436.22
374,-68.031325_0.820569,GE:,3756.89
375,-13.039195_-12.073885,GE:,1295.37
376,-47.701236_163.572574,LM:,1628.69
377,-24.122915_71.845765,LM:,4108.46
378,-69.247642_32.74231,SGRE:,4404.71
379,60.647485_56.453516,SG:,8956.26
380,21.990251_159.589933,LM:,4151.39
381,-42.594478_1.593252,EN:,9477.9
382,-70.072823_-10.806803,SG:,2133.37
383,-45.545498_11.433615,LM:,1550.36
384,-52.742791_68.71435,GOLD:,3320.28
385,80.549517_-20.181588,NG:,4389.15
386,66.1738_-93.504741,SUZ:,8717.88
387,-12.078415_-83.883376,LM:,5985.11
388,27.67751_-65.909841,GE:,6199.16
389,-27.443417_154.687871,EN:,7138.91
390,-63.923615_23.895357,SUZ:,718.1
391,-28.304349_71.438504,GOLD:,4187.25
392,11.059379_-36.057437,VWS:,6379.89
393,-79.061234_116.535911,GE:,5719.34
394,-29.340482_45.536249,LM:,5730.16
395,3.970731_15.754844,SG:,163.7
396,45.002131_-40.718531,GOLD:,4911.96
397,-3.724218_102.329566,VWS:,5574.3
398,66.197719_125.899899,GOLD:,1281.38
399,-55.868125_-20.419671,SUZ:,1583.89
400,-41.599541_172.019435,SUZ:,9035.97
401,14.99046_97.094355,NG:,2808.47
402,20.555125_-24.631553,SUZ:,4375.62
403,-79.822424_-38.941333,LM:,4000.85
404,-46.958187_131.286066,NG:,6582.01
405,-84.475406_-89.208103,NG:,9546.17
406,20.967926_114.347267,GE:,7359.26
407,-47.371313_-110.50595,MHI:,3121.56
408,13.231718_146.316817,VWS:,1280.19
409,-72.328571_-29.431405,GE:,6903.14
410,20.426472_-27.270688,GE:,6433.35
411,-20.639237_-71.232292,SGRE:,2868.56
412,-87.221369_-81.859613,GOLD:,7373.87
413,-30.42761_35.473208,SG:,6148.06
414,15.535325_12.386196,VWS:,8429.75
415,-1.688097_-100.49804,LM:,7037.75
416,29.882277_151.357212,SGRE:,121.61
417,-37.109603_-125.122711,SGRE:,1717.98
418,26.137443_8.022632,GOLD:,9436.82
419,49.498399_68.761946,LM:,9942.11
420,29.808912_157.079237,SGRE:,3762.81
421,-27.75657_33.460901,EN:,6193.98
422,-31.884388_171.10468,SGRE:,2893.43
423,62.625892_-45.637465,SG:,1669.66
424,-52.7851_159.537139,SUZ:,8117.63
425,71.86583_-142.467338,GE:,4358.95
426,-13.96158_31.272287,NG:,4767.83
427,5.683733_-28.063409,GOLD:,2585.88
428,-70.613622_-132.20373,SUZ:,4687.02
429,42.352046_27.474255,GE:,9472.69
430,-30.391464_48.696207,GOLD:,8705.13
431,32.192958_172.239765,SG:,2479.56
432,29.856095_165.86806,VWS:,963.27
433,-10.510337_-126.708529,MHI:,5581.54
434,29.941666_109.911019,GOLD:,8993.19
435,-67.709846_112.422449,SGRE:,73.14
436,30.482245_-2.31349,SUZ:,3039.88
437,-1.662935_-34.565521,SG:,6852.88
438,-39.676426_-154.229805,VWS:,4610.68
439,55.032058_-124.402864,VWS:,2054.99
440,2.819468_4.507552,GE:,111.34
441,-26.129784_24.389763,VWS:,685.83
442,13.37887_173.969454,MHI:,8381.45
443,24.159254_72.059992,GOLD:,7461.62
444,-34.505386_-164.360902,SGRE:,4470.65
445,58.89452_-68.976821,GE:,5573.05
446,-57.618391_27.623214,EN:,2200.1
447,75.501101_-165.018415,LM:,6305.32
448,-71.207058_-166.82936,LM:,6576.99
449,-41.967564_-114.464872,NG:,138.68
450,-5.613959_105.195652,MHI:,4940.53
451,-62.905503_-58.677855,SUZ:,5138.46
452,69.251401_-163.171418,GOLD:,5678.12
453,-56.512277_-46.996325,NG:,1514.92
454,-29.752417_-165.321967,SUZ:,1336.93
455,8.841845_0.628515,GE:,4989.59
456,48.591794_38.676929,EN:,266.69
457,88.250191_113.510651,SG:,5099.84
458,64.777817_45.49023,VWS:,9328.73
459,-40.858885_162.106526,GOLD:,6363.31
460,54.529656_163.804293,EN:,5858.07
461,-84.827062_-4.384124,VWS:,3476.32
462,89.806914_-34.83589,SG:,6873.86
463,-57.002431_113.968862,NG:,4968.27
464,-18.956746_67.400781,SGRE:,2214.15
465,71.725095_56.595662,GOLD:,7156.28
466,42.623545_8.608547,SGRE:,8983.57
467,-46.813756_77.362203,GE:,3583.87
468,41.265738_-31.72708,LM:,3413.15
469,35.344412_-107.872548,GE:,7268.38
470,-7.313822_-21.16739,GOLD:,2858.99
471,-45.244448_9.683625,SGRE:,495.52
472,-86.941794_-147.584878,EN:,8040.61
473,11.176307_98.228022,SGRE:,5321.37
474,80.064526_35.923181,SGRE:,3187.88
475,44.977534_-116.077617,NG:,8521.6
476,-59.409811_-23.420945,GOLD:,7910.7
477,-62.349541_112.288105,GE:,8313.68
478,-72.146974_-167.321284,SGRE:,9701.7
479,-75.978203_-99.982081,MHI:,1935.98
480,-47.721202_-94.412473,GE:,4923.67
481,-36.315933_-139.651323,EN:,9817.26
482,64.72274_-105.896432,SGRE:,8304.81
483,-59.474399_172.677167,NG:,8720.69
484,85.303463_107.31154,NG:,1635.54
485,-1.016539_121.282696,EN:,4853.77
486,-71.772995_72.015081,EN:,4931.78
487,81.78646_30.891817,EN:,7887.93
488,-29.308874_130.570851,GE:,9567.36
489,-48.82257_154.504178,LM:,1516.24
490,-29.301172_-27.952561,VWS:,8006.43
491,41.925485_-59.584168,VWS:,7834.87
492,41.540157_-126.817709,MHI:,1756.43
493,-17.210176_-136.661644,VWS:,9823.58
494,-57.845575_-78.811259,SG:,5446.78
495,-19.178475_-117.963652,SG:,9217.6
496,81.97982_42.249075,EN:,8582.2
497,49.76254_-36.533886,GOLD:,7760.7
498,87.118607_100.210087,SGRE:,920.19
499,-49.662054_41.472095,GE:,4028.51
500,23.536356_61.008874,SGRE:,4914.72
501,16.294561_167.32384,GOLD:,3818.11
502,57.02438_125.564117,SGRE:,3550.62
503,-4.547794_-173.572812,MHI:,1117.86
504,89.246859_55.349954,EN:,3603.89
505,-33.456641_77.508707,SGRE:,7735.51
506,50.301012_-86.546261,SG:,6737.98
507,70.933378_27.611132,VWS:,4358.06
508,56.083468_-35.03173,LM:,6134.37
509,-31.748599_-153.775471,GOLD:,9336.43
510,-52.177933_112.033131,SGRE:,1604.1
511,-34.895969_122.58545,LM:,7252.82
512,-68.080472_49.963442,GOLD:,3948.0
513,-46.254502_71.318168,EN:,8611.53
514,43.063213_-163.804178,SG:,4739.41
515,-13.82392_-60.450487,LM:,957.04
516,-16.785781_-57.580698,VWS:,8336.34
517,15.358677_-109.17092,EN:,937.49
518,-70.396254_-7.844832,NG:,8396.49
519,-21.291589_-49.307107,GOLD:,3927.92
520,33.245879_77.301334,MHI:,8893.0
521,33.780068_-80.595711,LM:,8005.69
522,52.539631_95.91962,GOLD:,2606.5
523,-29.709375_97.390101,SUZ:,4898.21
524,72.683263_-129.017156,VWS:,8393.6
525,-77.277878_-168.532794,VWS:,3590.47
526,77.815251_-178.420532,SUZ:,434.79
527,-83.635931_-139.231105,SUZ:,5269.04
528,9.626592_-49.846849,VWS:,7448.44
529,76.492642_-156.266308,GOLD:,3.7
530,-1.574443_169.189428,GOLD:,27.03
531,7.814544_42.302092,VWS:,7993.44
532,-61.931376_32.270318,GE:,7761.06
533,-34.364107_-139.28503,GOLD:,3277.14
534,-31.794601_-26.900188,LM:,858.42
535,44.270904_-62.356225,NG:,4416.39
536,70.266157_1.715218,VWS:,4932.72
537,53.439138_-77.065755,EN:,3746.42
538,-81.838095_-44.94895,VWS:,8932.28
539,-64.611529_22.172097,SG:,2879.73
540,-66.581608_-100.961748,SUZ:,204.37
541,71.790276_-143.515077,GE:,2493.43
542,-81.403678_-90.026969,NG:,5263.56
543,-25.437239_-70.92976,EN:,8964.45
544,69.77268_-31.899918,LM:,7480.35
545,50.13566_-116.674744,SGRE:,7031.02
546,-50.766274_178.354693,GOLD:,5283.81
547,-47.474687_52.158004,VWS:,7475.5
548,-27.130289_93.16469,SG:,4272.8
549,42.339227_-75.741267,MHI:,2985.68
550,-23.365884_48.342687,GE:,9434.78
551,-6.440647_125.361452,GE:,1753.91
552,6.439013_-132.480165,SGRE:,5013.96
553,69.364326_-76.709268,GOLD:,4454.43
554,-43.264346_57.229581,SGRE:,8073.16
555,19.911493_173.347364,GE:,8361.12
556,-23.541321_-50.974284,SG:,1515.98
557,29.699219_155.709175,LM:,9140.89
558,-21.701024_-68.218438,EN:,7150.9
559,58.294515_-43.367778,GE:,5698.23
560,-65.355935_53.33212,EN:,1890.1
561,83.850134_78.552067,SUZ:,5844.8
562,-26.749913_153.568608,EN:,1917.18
563,-22.366853_33.962738,SGRE:,5160.14
564,23.67125_-71.242482,GOLD:,6847.81
565,36.89096_142.070165,MHI:,9354.13
566,9.421557_157.167003,GOLD:,485.43
567,-55.193434_26.654294,VWS:,6865.72
568,42.296701_-123.077496,NG:,5287.76
569,-38.010432_42.106886,MHI:,5728.06
570,-42.455543_-85.025058,EN:,8604.03
571,69.434801_-170.215875,GOLD:,8486.52
572,-28.936757_118.790367,MHI:,1625.12
573,-34.941803_92.276188,MHI:,8229.21
574,-52.376563_-167.970451,GOLD:,7952.45
575,-49.151318_133.950537,NG:,909.49
576,-49.109462_-78.206072,NG:,8080.62
577,-83.898406_32.674062,SGRE:,5167.4
578,-35.647513_49.985216,SG:,1710.85
579,19.590546_-18.764438,VWS:,4109.41
580,75.561068_101.614786,NG:,2367.91
581,32.758264_19.942783,LM:,860.34
582,26.178871_-161.612103,EN:,4202.18
583,67.033227_-8.527987,VWS:,9562.2
584,32.964986_116.430639,SUZ:,5616.99
585,8.480698_-2.374539,LM:,6246.72
586,-8.808314_-174.251536,SUZ:,4671.67
587,71.672436_133.720261,GOLD:,3513.35
588,23.013229_-30.583319,SUZ:,9547.49
589,-28.476908_150.760948,NG:,4986.92
590,53.103355_-68.735749,GOLD:,2461.97
591,29.044282_-6.798596,SGRE:,928.95
592,-63.893669_18.687385,GOLD:,8954.94
593,54.057539_-32.546283,EN:,9137.17
594,-27.742702_-9.79267,NG:,8224.94
595,-19.694596_67.013357,SG:,5210.69
596,79.008034_-97.839751,SG:,2766.54
597,-19.867812_78.65733,MHI:,143.31
598,-75.808855_101.778937,VWS:,4304.15
599,-17.299901_23.908347,GE:,7851.55
600,36.805575_-154.641724,NG:,3561.87
601,76.215214_-162.768021,SGRE:,3452.92
602,-59.621627_128.250819,EN:,7170.25
603,31.253666_-159.644329,VWS:,3661.56
604,66.774752_-102.290918,GE:,2756.03
605,53.108911_161.510593,LM:,2854.11
606,21.72864_117.273877,MHI:,3199.24
607,86.292578_159.152325,SG:,3313.15
608,14.311792_-74.656449,MHI:,3755.34
609,19.472317_52.554784,SGRE:,4811.52
610,60.664666_-52.119089,SG:,5041.79
611,-55.161436_105.753368,GOLD:,4580.46
612,44.290786_53.011547,SGRE:,6234.27
