id,name,unit,sensor
AIRCRAFT-SENSOR-AIRCRAFT-33-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-33
AIRCRAFT-SENSOR-AIRCRAFT-330-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-330
AIRCRAFT-SENSOR-AIRCRAFT-330-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-330
AIRCRAFT-SENSOR-AIRCRAFT-330-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-330
AIRCRAFT-SENSOR-AIRCRAFT-330-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-330
AIRCRAFT-SENSOR-AIRCRAFT-331-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-331
AIRCRAFT-SENSOR-AIRCRAFT-331-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-331
AIRCRAFT-SENSOR-AIRCRAFT-331-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-331
AIRCRAFT-SENSOR-AIRCRAFT-331-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-331
AIRCRAFT-SENSOR-AIRCRAFT-332-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-332
AIRCRAFT-SENSOR-AIRCRAFT-332-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-332
AIRCRAFT-SENSOR-AIRCRAFT-332-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-332
AIRCRAFT-SENSOR-AIRCRAFT-332-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-332
AIRCRAFT-SENSOR-AIRCRAFT-333-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-333
AIRCRAFT-SENSOR-AIRCRAFT-333-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-333
AIRCRAFT-SENSOR-AIRCRAFT-333-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-333
AIRCRAFT-SENSOR-AIRCRAFT-333-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-333
AIRCRAFT-SENSOR-AIRCRAFT-334-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-334
AIRCRAFT-SENSOR-AIRCRAFT-334-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-334
AIRCRAFT-SENSOR-AIRCRAFT-334-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-334
AIRCRAFT-SENSOR-AIRCRAFT-334-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-334
AIRCRAFT-SENSOR-AIRCRAFT-335-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-335
AIRCRAFT-SENSOR-AIRCRAFT-335-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-335
AIRCRAFT-SENSOR-AIRCRAFT-335-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-335
AIRCRAFT-SENSOR-AIRCRAFT-335-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-335
AIRCRAFT-SENSOR-AIRCRAFT-336-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-336
AIRCRAFT-SENSOR-AIRCRAFT-336-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-336
AIRCRAFT-SENSOR-AIRCRAFT-336-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-336
AIRCRAFT-SENSOR-AIRCRAFT-336-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-336
AIRCRAFT-SENSOR-AIRCRAFT-337-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-337
AIRCRAFT-SENSOR-AIRCRAFT-337-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-337
AIRCRAFT-SENSOR-AIRCRAFT-337-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-337
AIRCRAFT-SENSOR-AIRCRAFT-337-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-337
AIRCRAFT-SENSOR-AIRCRAFT-338-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-338
AIRCRAFT-SENSOR-AIRCRAFT-338-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-338
AIRCRAFT-SENSOR-AIRCRAFT-338-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-338
AIRCRAFT-SENSOR-AIRCRAFT-338-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-338
AIRCRAFT-SENSOR-AIRCRAFT-339-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-339
AIRCRAFT-SENSOR-AIRCRAFT-339-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-339
AIRCRAFT-SENSOR-AIRCRAFT-339-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-339
AIRCRAFT-SENSOR-AIRCRAFT-339-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-339
AIRCRAFT-SENSOR-AIRCRAFT-34-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-34
AIRCRAFT-SENSOR-AIRCRAFT-34-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-34
AIRCRAFT-SENSOR-AIRCRAFT-34-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-34
AIRCRAFT-SENSOR-AIRCRAFT-34-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-34
AIRCRAFT-SENSOR-AIRCRAFT-340-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-340
AIRCRAFT-SENSOR-AIRCRAFT-340-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-340
AIRCRAFT-SENSOR-AIRCRAFT-340-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-340
AIRCRAFT-SENSOR-AIRCRAFT-340-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-340
AIRCRAFT-SENSOR-AIRCRAFT-341-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-341
AIRCRAFT-SENSOR-AIRCRAFT-341-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-341
AIRCRAFT-SENSOR-AIRCRAFT-341-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-341
AIRCRAFT-SENSOR-AIRCRAFT-341-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-341
AIRCRAFT-SENSOR-AIRCRAFT-342-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-342
AIRCRAFT-SENSOR-AIRCRAFT-342-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-342
AIRCRAFT-SENSOR-AIRCRAFT-342-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-342
AIRCRAFT-SENSOR-AIRCRAFT-342-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-342
AIRCRAFT-SENSOR-AIRCRAFT-343-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-343
AIRCRAFT-SENSOR-AIRCRAFT-343-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-343
AIRCRAFT-SENSOR-AIRCRAFT-343-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-343
AIRCRAFT-SENSOR-AIRCRAFT-343-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-343
AIRCRAFT-SENSOR-AIRCRAFT-344-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-344
AIRCRAFT-SENSOR-AIRCRAFT-344-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-344
AIRCRAFT-SENSOR-AIRCRAFT-344-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-344
AIRCRAFT-SENSOR-AIRCRAFT-344-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-344
AIRCRAFT-SENSOR-AIRCRAFT-345-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-345
AIRCRAFT-SENSOR-AIRCRAFT-345-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-345
AIRCRAFT-SENSOR-AIRCRAFT-345-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-345
AIRCRAFT-SENSOR-AIRCRAFT-345-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-345
AIRCRAFT-SENSOR-AIRCRAFT-346-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-346
AIRCRAFT-SENSOR-AIRCRAFT-346-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-346
AIRCRAFT-SENSOR-AIRCRAFT-346-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-346
AIRCRAFT-SENSOR-AIRCRAFT-346-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-346
AIRCRAFT-SENSOR-AIRCRAFT-347-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-347
AIRCRAFT-SENSOR-AIRCRAFT-347-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-347
AIRCRAFT-SENSOR-AIRCRAFT-347-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-347
AIRCRAFT-SENSOR-AIRCRAFT-347-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-347
AIRCRAFT-SENSOR-AIRCRAFT-348-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-348
AIRCRAFT-SENSOR-AIRCRAFT-348-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-348
AIRCRAFT-SENSOR-AIRCRAFT-348-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-348
AIRCRAFT-SENSOR-AIRCRAFT-348-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-348
AIRCRAFT-SENSOR-AIRCRAFT-349-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-349
AIRCRAFT-SENSOR-AIRCRAFT-349-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-349
AIRCRAFT-SENSOR-AIRCRAFT-349-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-349
AIRCRAFT-SENSOR-AIRCRAFT-349-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-349
AIRCRAFT-SENSOR-AIRCRAFT-35-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-35
AIRCRAFT-SENSOR-AIRCRAFT-35-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-35
AIRCRAFT-SENSOR-AIRCRAFT-35-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-35
AIRCRAFT-SENSOR-AIRCRAFT-35-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-35
AIRCRAFT-SENSOR-AIRCRAFT-350-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-350
AIRCRAFT-SENSOR-AIRCRAFT-350-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-350
AIRCRAFT-SENSOR-AIRCRAFT-350-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-350
AIRCRAFT-SENSOR-AIRCRAFT-350-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-350
AIRCRAFT-SENSOR-AIRCRAFT-351-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-351
AIRCRAFT-SENSOR-AIRCRAFT-351-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-351
AIRCRAFT-SENSOR-AIRCRAFT-351-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-351
AIRCRAFT-SENSOR-AIRCRAFT-351-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-351
AIRCRAFT-SENSOR-AIRCRAFT-352-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-352
AIRCRAFT-SENSOR-AIRCRAFT-352-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-352
AIRCRAFT-SENSOR-AIRCRAFT-352-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-352
AIRCRAFT-SENSOR-AIRCRAFT-352-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-352
AIRCRAFT-SENSOR-AIRCRAFT-353-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-353
AIRCRAFT-SENSOR-AIRCRAFT-353-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-353
AIRCRAFT-SENSOR-AIRCRAFT-353-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-353
AIRCRAFT-SENSOR-AIRCRAFT-353-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-353
AIRCRAFT-SENSOR-AIRCRAFT-354-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-354
AIRCRAFT-SENSOR-AIRCRAFT-354-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-354
AIRCRAFT-SENSOR-AIRCRAFT-354-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-354
AIRCRAFT-SENSOR-AIRCRAFT-354-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-354
AIRCRAFT-SENSOR-AIRCRAFT-355-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-355
AIRCRAFT-SENSOR-AIRCRAFT-355-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-355
AIRCRAFT-SENSOR-AIRCRAFT-355-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-355
AIRCRAFT-SENSOR-AIRCRAFT-355-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-355
AIRCRAFT-SENSOR-AIRCRAFT-356-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-356
AIRCRAFT-SENSOR-AIRCRAFT-356-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-356
AIRCRAFT-SENSOR-AIRCRAFT-356-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-356
AIRCRAFT-SENSOR-AIRCRAFT-356-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-356
AIRCRAFT-SENSOR-AIRCRAFT-357-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-357
AIRCRAFT-SENSOR-AIRCRAFT-357-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-357
AIRCRAFT-SENSOR-AIRCRAFT-357-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-357
AIRCRAFT-SENSOR-AIRCRAFT-357-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-357
AIRCRAFT-SENSOR-AIRCRAFT-358-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-358
AIRCRAFT-SENSOR-AIRCRAFT-358-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-358
AIRCRAFT-SENSOR-AIRCRAFT-358-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-358
AIRCRAFT-SENSOR-AIRCRAFT-358-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-358
AIRCRAFT-SENSOR-AIRCRAFT-359-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-359
AIRCRAFT-SENSOR-AIRCRAFT-359-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-359
AIRCRAFT-SENSOR-AIRCRAFT-359-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-359
AIRCRAFT-SENSOR-AIRCRAFT-359-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-359
AIRCRAFT-SENSOR-AIRCRAFT-36-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-36
AIRCRAFT-SENSOR-AIRCRAFT-36-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-36
AIRCRAFT-SENSOR-AIRCRAFT-36-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-36
AIRCRAFT-SENSOR-AIRCRAFT-36-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-36
AIRCRAFT-SENSOR-AIRCRAFT-360-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-360
AIRCRAFT-SENSOR-AIRCRAFT-360-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-360
AIRCRAFT-SENSOR-AIRCRAFT-360-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-360
AIRCRAFT-SENSOR-AIRCRAFT-360-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-360
AIRCRAFT-SENSOR-AIRCRAFT-361-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-361
AIRCRAFT-SENSOR-AIRCRAFT-361-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-361
AIRCRAFT-SENSOR-AIRCRAFT-361-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-361
AIRCRAFT-SENSOR-AIRCRAFT-361-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-361
AIRCRAFT-SENSOR-AIRCRAFT-362-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-362
AIRCRAFT-SENSOR-AIRCRAFT-362-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-362
AIRCRAFT-SENSOR-AIRCRAFT-362-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-362
AIRCRAFT-SENSOR-AIRCRAFT-362-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-362
AIRCRAFT-SENSOR-AIRCRAFT-363-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-363
AIRCRAFT-SENSOR-AIRCRAFT-363-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-363
AIRCRAFT-SENSOR-AIRCRAFT-363-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-363
AIRCRAFT-SENSOR-AIRCRAFT-363-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-363
AIRCRAFT-SENSOR-AIRCRAFT-364-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-364
AIRCRAFT-SENSOR-AIRCRAFT-364-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-364
AIRCRAFT-SENSOR-AIRCRAFT-364-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-364
AIRCRAFT-SENSOR-AIRCRAFT-364-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-364
AIRCRAFT-SENSOR-AIRCRAFT-365-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-365
AIRCRAFT-SENSOR-AIRCRAFT-365-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-365
AIRCRAFT-SENSOR-AIRCRAFT-365-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-365
AIRCRAFT-SENSOR-AIRCRAFT-365-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-365
AIRCRAFT-SENSOR-AIRCRAFT-366-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-366
AIRCRAFT-SENSOR-AIRCRAFT-366-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-366
AIRCRAFT-SENSOR-AIRCRAFT-366-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-366
AIRCRAFT-SENSOR-AIRCRAFT-366-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-366
AIRCRAFT-SENSOR-AIRCRAFT-367-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-367
AIRCRAFT-SENSOR-AIRCRAFT-367-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-367
AIRCRAFT-SENSOR-AIRCRAFT-367-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-367
AIRCRAFT-SENSOR-AIRCRAFT-367-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-367
