id,aircraft.id,description,priority,status,createdDate,dueDate
WORK-ORDER-1582,AIRCRAFT-305,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1583,AIRCRAFT-305,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1584,AIRCRAFT-247,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1585,AIRCRAFT-247,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-07,2026-05-09
WORK-ORDER-1586,AIRCRAFT-247,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1587,AIRCRAFT-384,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1588,AIRCRAFT-384,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1589,AIRCRAFT-384,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-07,2026-05-11
WORK-ORDER-159,AIRCRAFT-369,Conduct security inspection and clearance,HIGH,CLOSED,2026-04-10,2026-04-11
WORK-ORDER-1590,AIRCRAFT-387,Repair navigation system components,HIGH,CLOSED,2026-05-07,2026-05-11
WORK-ORDER-1591,AIRCRAFT-387,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1592,AIRCRAFT-402,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-02-07,2026-02-12
WORK-ORDER-1593,AIRCRAFT-402,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-02-07,2026-02-08
WORK-ORDER-1594,AIRCRAFT-402,Complete delayed maintenance procedures,LOW,CLOSED,2026-02-07,2026-02-10
WORK-ORDER-1595,AIRCRAFT-402,Fix communication equipment and systems,MEDIUM,CLOSED,2026-02-07,2026-02-08
WORK-ORDER-1596,AIRCRAFT-389,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1597,AIRCRAFT-389,Repair navigation system components,HIGH,CLOSED,2026-05-07,2026-05-08
WORK-ORDER-1598,AIRCRAFT-389,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1599,AIRCRAFT-389,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-07,2026-05-11
WORK-ORDER-16,AIRCRAFT-21,Fix communication equipment and systems,MEDIUM,CLOSED,2026-04-05,2026-04-07
WORK-ORDER-160,AIRCRAFT-369,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-04-10,2026-04-13
WORK-ORDER-1600,AIRCRAFT-172,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1601,AIRCRAFT-172,Repair navigation system components,HIGH,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1602,AIRCRAFT-172,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1603,AIRCRAFT-172,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-07,2026-05-09
WORK-ORDER-1604,AIRCRAFT-205,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1605,AIRCRAFT-205,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-07,2026-05-08
WORK-ORDER-1606,AIRCRAFT-205,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1607,AIRCRAFT-194,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-07,2026-05-09
WORK-ORDER-1608,AIRCRAFT-194,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1609,AIRCRAFT-194,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-161,AIRCRAFT-491,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-04-10,2026-04-13
WORK-ORDER-1610,AIRCRAFT-194,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-07,2026-05-11
WORK-ORDER-1611,AIRCRAFT-191,Repair navigation system components,HIGH,CLOSED,2026-05-07,2026-05-09
WORK-ORDER-1612,AIRCRAFT-191,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1613,AIRCRAFT-191,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-07,2026-05-08
WORK-ORDER-1614,AIRCRAFT-49,Repair navigation system components,HIGH,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1615,AIRCRAFT-49,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1616,AIRCRAFT-49,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1617,AIRCRAFT-49,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1618,AIRCRAFT-49,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1619,AIRCRAFT-28,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-162,AIRCRAFT-491,Repair navigation system components,HIGH,CLOSED,2026-04-10,2026-04-12
WORK-ORDER-1620,AIRCRAFT-28,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-08,2026-05-09
WORK-ORDER-1621,AIRCRAFT-28,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1622,AIRCRAFT-317,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1623,AIRCRAFT-317,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1624,AIRCRAFT-44,Repair navigation system components,HIGH,CLOSED,2026-02-07,2026-02-08
WORK-ORDER-1625,AIRCRAFT-39,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1626,AIRCRAFT-39,Repair navigation system components,HIGH,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1627,AIRCRAFT-39,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1628,AIRCRAFT-193,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1629,AIRCRAFT-227,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-163,AIRCRAFT-491,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-04-10,2026-04-11
WORK-ORDER-1630,AIRCRAFT-227,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1631,AIRCRAFT-227,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1632,AIRCRAFT-227,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1633,AIRCRAFT-227,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1634,AIRCRAFT-114,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1635,AIRCRAFT-114,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-08,2026-05-09
WORK-ORDER-1636,AIRCRAFT-114,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1637,AIRCRAFT-7,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-08,2026-05-09
WORK-ORDER-1638,AIRCRAFT-184,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1639,AIRCRAFT-184,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-164,AIRCRAFT-491,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-04-10,2026-04-12
WORK-ORDER-1640,AIRCRAFT-184,Repair navigation system components,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1641,AIRCRAFT-184,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-08,2026-05-09
WORK-ORDER-1642,AIRCRAFT-109,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1643,AIRCRAFT-109,Repair navigation system components,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1644,AIRCRAFT-95,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1645,AIRCRAFT-95,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1646,AIRCRAFT-95,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1647,AIRCRAFT-95,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1648,AIRCRAFT-95,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1649,AIRCRAFT-486,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-165,AIRCRAFT-37,Perform engine inspection and maintenance,HIGH,CLOSED,2026-04-10,2026-04-15
WORK-ORDER-1650,AIRCRAFT-486,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1651,AIRCRAFT-486,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1652,AIRCRAFT-40,Perform engine inspection and maintenance,HIGH,CLOSED,2026-02-07,2026-02-11
WORK-ORDER-1653,AIRCRAFT-40,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-02-07,2026-02-08
WORK-ORDER-1654,AIRCRAFT-40,Complete delayed maintenance procedures,LOW,CLOSED,2026-02-07,2026-02-11
WORK-ORDER-1655,AIRCRAFT-40,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-02-07,2026-02-10
WORK-ORDER-1656,AIRCRAFT-40,Conduct security inspection and clearance,HIGH,CLOSED,2026-02-07,2026-02-09
WORK-ORDER-1657,AIRCRAFT-75,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1658,AIRCRAFT-75,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1659,AIRCRAFT-479,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-166,AIRCRAFT-37,Conduct security inspection and clearance,HIGH,CLOSED,2026-04-10,2026-04-11
WORK-ORDER-1660,AIRCRAFT-479,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1661,AIRCRAFT-479,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1662,AIRCRAFT-242,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1663,AIRCRAFT-65,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1664,AIRCRAFT-65,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1665,AIRCRAFT-126,Repair navigation system components,HIGH,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1666,AIRCRAFT-126,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1667,AIRCRAFT-126,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1668,AIRCRAFT-126,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1669,AIRCRAFT-202,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-167,AIRCRAFT-37,Repair navigation system components,HIGH,CLOSED,2026-04-10,2026-04-11
WORK-ORDER-1670,AIRCRAFT-202,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1671,AIRCRAFT-356,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-08,2026-05-11
WORK-ORDER-1672,AIRCRAFT-356,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1673,AIRCRAFT-356,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1674,AIRCRAFT-356,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-08,2026-05-13
WORK-ORDER-1675,AIRCRAFT-356,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-08,2026-05-12
WORK-ORDER-1676,AIRCRAFT-418,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-08,2026-05-10
WORK-ORDER-1677,AIRCRAFT-163,Complete delayed maintenance procedures,LOW,CLOSED,2026-02-07,2026-02-09
WORK-ORDER-1678,AIRCRAFT-163,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-02-07,2026-02-12
WORK-ORDER-1679,AIRCRAFT-163,Perform engine inspection and maintenance,HIGH,CLOSED,2026-02-07,2026-02-09
WORK-ORDER-168,AIRCRAFT-37,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-04-10,2026-04-14
WORK-ORDER-1680,AIRCRAFT-163,Conduct security inspection and clearance,HIGH,CLOSED,2026-02-07,2026-02-10
WORK-ORDER-1681,AIRCRAFT-163,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-02-07,2026-02-08
WORK-ORDER-1682,AIRCRAFT-293,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-09,2026-05-13
WORK-ORDER-1683,AIRCRAFT-293,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-09,2026-05-12
WORK-ORDER-1684,AIRCRAFT-293,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-09,2026-05-14
WORK-ORDER-1685,AIRCRAFT-293,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-09,2026-05-10
WORK-ORDER-1686,AIRCRAFT-293,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-09,2026-05-14
WORK-ORDER-1687,AIRCRAFT-50,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-09,2026-05-10
WORK-ORDER-1688,AIRCRAFT-50,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-09,2026-05-12
WORK-ORDER-1689,AIRCRAFT-50,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-09,2026-05-10
WORK-ORDER-169,AIRCRAFT-37,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-04-10,2026-04-11
WORK-ORDER-1690,AIRCRAFT-50,Repair navigation system components,HIGH,CLOSED,2026-05-09,2026-05-11
WORK-ORDER-1691,AIRCRAFT-50,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-09,2026-05-12
WORK-ORDER-1692,AIRCRAFT-325,Repair navigation system components,HIGH,CLOSED,2026-05-09,2026-05-13
WORK-ORDER-1693,AIRCRAFT-325,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-09,2026-05-14
WORK-ORDER-1694,AIRCRAFT-325,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-09,2026-05-11
WORK-ORDER-1695,AIRCRAFT-325,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-09,2026-05-13
WORK-ORDER-1696,AIRCRAFT-325,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-09,2026-05-10
WORK-ORDER-1697,AIRCRAFT-324,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-09,2026-05-11
WORK-ORDER-1698,AIRCRAFT-324,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-09,2026-05-13
WORK-ORDER-1699,AIRCRAFT-324,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-09,2026-05-12
WORK-ORDER-17,AIRCRAFT-90,Conduct security inspection and clearance,HIGH,CLOSED,2026-04-05,2026-04-10
WORK-ORDER-170,AIRCRAFT-352,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-04-10,2026-04-15
WORK-ORDER-1700,AIRCRAFT-324,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-09,2026-05-10
WORK-ORDER-1701,AIRCRAFT-324,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-09,2026-05-13
WORK-ORDER-1702,AIRCRAFT-286,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-09,2026-05-10
WORK-ORDER-1703,AIRCRAFT-27,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-09,2026-05-13
WORK-ORDER-1704,AIRCRAFT-399,Repair navigation system components,HIGH,CLOSED,2026-05-09,2026-05-14
WORK-ORDER-1705,AIRCRAFT-399,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-09,2026-05-12
WORK-ORDER-1706,AIRCRAFT-465,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-10,2026-05-12
WORK-ORDER-1707,AIRCRAFT-465,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-10,2026-05-14
WORK-ORDER-1708,AIRCRAFT-260,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-1709,AIRCRAFT-260,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-10,2026-05-13
WORK-ORDER-171,AIRCRAFT-352,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-04-10,2026-04-12
WORK-ORDER-1710,AIRCRAFT-260,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-10,2026-05-12
WORK-ORDER-1711,AIRCRAFT-414,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-1712,AIRCRAFT-414,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-10,2026-05-13
WORK-ORDER-1713,AIRCRAFT-414,Repair navigation system components,HIGH,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-1714,AIRCRAFT-414,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-10,2026-05-13
WORK-ORDER-1715,AIRCRAFT-464,Repair navigation system components,HIGH,CLOSED,2026-05-10,2026-05-12
WORK-ORDER-1716,AIRCRAFT-490,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-10,2026-05-12
WORK-ORDER-1717,AIRCRAFT-490,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-1718,AIRCRAFT-490,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-10,2026-05-13
WORK-ORDER-1719,AIRCRAFT-21,Repair navigation system components,HIGH,CLOSED,2026-05-10,2026-05-14
WORK-ORDER-172,AIRCRAFT-352,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-04-10,2026-04-12
WORK-ORDER-1720,AIRCRAFT-21,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-10,2026-05-12
WORK-ORDER-1721,AIRCRAFT-2,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-10,2026-05-14
WORK-ORDER-1722,AIRCRAFT-170,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-10,2026-05-14
WORK-ORDER-1723,AIRCRAFT-496,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-10,2026-05-15
WORK-ORDER-1724,AIRCRAFT-496,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-1725,AIRCRAFT-496,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-1726,AIRCRAFT-496,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-1727,AIRCRAFT-293,Repair navigation system components,HIGH,CLOSED,2026-02-08,2026-02-11
WORK-ORDER-1728,AIRCRAFT-293,Complete delayed maintenance procedures,LOW,CLOSED,2026-02-08,2026-02-10
WORK-ORDER-1729,AIRCRAFT-293,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-02-08,2026-02-10
WORK-ORDER-173,AIRCRAFT-352,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-04-10,2026-04-14
WORK-ORDER-1730,AIRCRAFT-296,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-10,2026-05-15
WORK-ORDER-1731,AIRCRAFT-296,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-10,2026-05-15
WORK-ORDER-1732,AIRCRAFT-296,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-10,2026-05-15
WORK-ORDER-1733,AIRCRAFT-296,Repair navigation system components,HIGH,CLOSED,2026-05-10,2026-05-14
WORK-ORDER-1734,AIRCRAFT-296,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-1735,AIRCRAFT-379,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-10,2026-05-13
WORK-ORDER-1736,AIRCRAFT-379,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-10,2026-05-12
WORK-ORDER-1737,AIRCRAFT-379,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-10,2026-05-13
WORK-ORDER-1738,AIRCRAFT-25,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-1739,AIRCRAFT-25,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-10,2026-05-11
WORK-ORDER-174,AIRCRAFT-352,Perform engine inspection and maintenance,HIGH,CLOSED,2026-04-10,2026-04-15
WORK-ORDER-1740,AIRCRAFT-25,Repair navigation system components,HIGH,CLOSED,2026-05-10,2026-05-12
WORK-ORDER-1741,AIRCRAFT-25,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-10,2026-05-14
WORK-ORDER-1742,AIRCRAFT-278,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-10,2026-05-15
