id,aircraft.id,description,priority,status,createdDate,dueDate
WORK-ORDER-10045,AIRCRAFT-472,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-16,2026-11-21
WORK-ORDER-10046,AIRCRAFT-472,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10047,AIRCRAFT-472,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-16,2026-11-18
WORK-ORDER-10048,AIRCRAFT-472,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10049,AIRCRAFT-472,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-16,2026-11-20
WORK-ORDER-1005,AIRCRAFT-133,Repair navigation system components,HIGH,CLOSED,2026-04-26,2026-04-30
WORK-ORDER-10050,AIRCRAFT-44,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-17,2026-11-22
WORK-ORDER-10051,AIRCRAFT-44,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-17,2026-11-21
WORK-ORDER-10052,AIRCRAFT-239,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-17,2026-11-22
WORK-ORDER-10053,AIRCRAFT-239,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-17,2026-11-21
WORK-ORDER-10054,AIRCRAFT-239,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-17,2026-11-19
WORK-ORDER-10055,AIRCRAFT-239,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-17,2026-11-18
WORK-ORDER-10056,AIRCRAFT-239,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-17,2026-11-20
WORK-ORDER-10057,AIRCRAFT-265,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-17,2026-11-18
WORK-ORDER-10058,AIRCRAFT-450,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-17,2026-11-20
WORK-ORDER-10059,AIRCRAFT-450,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-17,2026-11-18
WORK-ORDER-1006,AIRCRAFT-133,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-04-26,2026-04-28
WORK-ORDER-10060,AIRCRAFT-450,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-17,2026-11-20
WORK-ORDER-10061,AIRCRAFT-450,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-17,2026-11-21
WORK-ORDER-10062,AIRCRAFT-450,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-17,2026-11-19
WORK-ORDER-10063,AIRCRAFT-401,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-03-03,2026-03-08
WORK-ORDER-10064,AIRCRAFT-401,Repair navigation system components,HIGH,CLOSED,2026-03-03,2026-03-07
WORK-ORDER-10065,AIRCRAFT-401,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-03-03,2026-03-07
WORK-ORDER-10066,AIRCRAFT-401,Conduct security inspection and clearance,HIGH,CLOSED,2026-03-03,2026-03-08
WORK-ORDER-10067,AIRCRAFT-401,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-03-03,2026-03-04
WORK-ORDER-10068,AIRCRAFT-436,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-17,2026-11-20
WORK-ORDER-10069,AIRCRAFT-436,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-17,2026-11-21
WORK-ORDER-1007,AIRCRAFT-133,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-04-26,2026-04-30
WORK-ORDER-10070,AIRCRAFT-436,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-17,2026-11-21
WORK-ORDER-10071,AIRCRAFT-221,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-17,2026-11-18
WORK-ORDER-10072,AIRCRAFT-221,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-17,2026-11-21
WORK-ORDER-10073,AIRCRAFT-221,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-17,2026-11-20
WORK-ORDER-10074,AIRCRAFT-221,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-17,2026-11-22
WORK-ORDER-10075,AIRCRAFT-221,Repair navigation system components,HIGH,CLOSED,2026-11-17,2026-11-19
WORK-ORDER-10076,AIRCRAFT-166,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-17,2026-11-19
WORK-ORDER-10077,AIRCRAFT-166,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-17,2026-11-22
WORK-ORDER-10078,AIRCRAFT-166,Repair navigation system components,HIGH,CLOSED,2026-11-17,2026-11-22
WORK-ORDER-10079,AIRCRAFT-461,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-17,2026-11-22
WORK-ORDER-1008,AIRCRAFT-135,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-04-26,2026-05-01
WORK-ORDER-10080,AIRCRAFT-461,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-17,2026-11-18
WORK-ORDER-10081,AIRCRAFT-67,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-17,2026-11-19
WORK-ORDER-10082,AIRCRAFT-365,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-17,2026-11-21
WORK-ORDER-10083,AIRCRAFT-365,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-17,2026-11-18
WORK-ORDER-10084,AIRCRAFT-120,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-17,2026-11-20
WORK-ORDER-10085,AIRCRAFT-120,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-17,2026-11-22
WORK-ORDER-10086,AIRCRAFT-120,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-17,2026-11-21
WORK-ORDER-10087,AIRCRAFT-378,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-17,2026-11-19
WORK-ORDER-10088,AIRCRAFT-224,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-17,2026-11-21
WORK-ORDER-10089,AIRCRAFT-93,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-03-03,2026-03-04
WORK-ORDER-1009,AIRCRAFT-135,Repair navigation system components,HIGH,CLOSED,2026-04-26,2026-04-30
WORK-ORDER-10090,AIRCRAFT-93,Repair navigation system components,HIGH,CLOSED,2026-03-03,2026-03-07
WORK-ORDER-10091,AIRCRAFT-93,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-03-03,2026-03-08
WORK-ORDER-10092,AIRCRAFT-356,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-17,2026-11-19
WORK-ORDER-10093,AIRCRAFT-277,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-17,2026-11-19
WORK-ORDER-10094,AIRCRAFT-107,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-17,2026-11-19
WORK-ORDER-10095,AIRCRAFT-94,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-18,2026-11-20
WORK-ORDER-10096,AIRCRAFT-94,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-18,2026-11-19
WORK-ORDER-10097,AIRCRAFT-94,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-18,2026-11-19
WORK-ORDER-10098,AIRCRAFT-94,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-18,2026-11-22
WORK-ORDER-10099,AIRCRAFT-94,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-18,2026-11-19
WORK-ORDER-101,AIRCRAFT-322,Perform engine inspection and maintenance,HIGH,CLOSED,2026-04-08,2026-04-10
WORK-ORDER-1010,AIRCRAFT-135,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-04-26,2026-04-29
WORK-ORDER-10100,AIRCRAFT-490,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-18,2026-11-20
WORK-ORDER-10101,AIRCRAFT-490,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-18,2026-11-21
WORK-ORDER-10102,AIRCRAFT-490,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-18,2026-11-22
WORK-ORDER-10103,AIRCRAFT-490,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-18,2026-11-21
WORK-ORDER-10104,AIRCRAFT-490,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-18,2026-11-20
WORK-ORDER-10105,AIRCRAFT-342,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-18,2026-11-21
WORK-ORDER-10106,AIRCRAFT-342,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-18,2026-11-22
WORK-ORDER-10107,AIRCRAFT-342,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-18,2026-11-19
WORK-ORDER-10108,AIRCRAFT-342,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-18,2026-11-20
WORK-ORDER-10109,AIRCRAFT-342,Repair navigation system components,HIGH,CLOSED,2026-11-18,2026-11-23
WORK-ORDER-1011,AIRCRAFT-135,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-04-26,2026-04-29
WORK-ORDER-10110,AIRCRAFT-204,Perform engine inspection and maintenance,HIGH,CLOSED,2026-03-03,2026-03-07
WORK-ORDER-10111,AIRCRAFT-204,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-03-03,2026-03-04
WORK-ORDER-10112,AIRCRAFT-204,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-03-03,2026-03-06
WORK-ORDER-10113,AIRCRAFT-204,Repair navigation system components,HIGH,CLOSED,2026-03-03,2026-03-05
WORK-ORDER-10114,AIRCRAFT-204,Conduct security inspection and clearance,HIGH,CLOSED,2026-03-03,2026-03-08
WORK-ORDER-10115,AIRCRAFT-308,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-19,2026-11-24
WORK-ORDER-10116,AIRCRAFT-308,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-19,2026-11-20
WORK-ORDER-10117,AIRCRAFT-308,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-19,2026-11-22
WORK-ORDER-10118,AIRCRAFT-308,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-19,2026-11-23
WORK-ORDER-10119,AIRCRAFT-308,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-19,2026-11-23
WORK-ORDER-1012,AIRCRAFT-46,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-04-26,2026-05-01
WORK-ORDER-10120,AIRCRAFT-354,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-19,2026-11-24
WORK-ORDER-10121,AIRCRAFT-420,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-20,2026-11-24
WORK-ORDER-10122,AIRCRAFT-420,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-20,2026-11-22
WORK-ORDER-10123,AIRCRAFT-420,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-20,2026-11-22
WORK-ORDER-10124,AIRCRAFT-420,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-20,2026-11-23
WORK-ORDER-10125,AIRCRAFT-420,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-20,2026-11-21
WORK-ORDER-10126,AIRCRAFT-499,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-20,2026-11-23
WORK-ORDER-10127,AIRCRAFT-55,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-20,2026-11-21
WORK-ORDER-10128,AIRCRAFT-93,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-20,2026-11-21
WORK-ORDER-10129,AIRCRAFT-93,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-20,2026-11-21
WORK-ORDER-1013,AIRCRAFT-207,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-04-26,2026-05-01
WORK-ORDER-10130,AIRCRAFT-93,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-20,2026-11-23
WORK-ORDER-10131,AIRCRAFT-93,Repair navigation system components,HIGH,CLOSED,2026-11-20,2026-11-25
WORK-ORDER-10132,AIRCRAFT-270,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-20,2026-11-22
WORK-ORDER-10133,AIRCRAFT-270,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-20,2026-11-21
WORK-ORDER-10134,AIRCRAFT-270,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-20,2026-11-25
WORK-ORDER-10135,AIRCRAFT-270,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-20,2026-11-23
WORK-ORDER-10136,AIRCRAFT-270,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-20,2026-11-22
WORK-ORDER-10137,AIRCRAFT-358,Repair navigation system components,HIGH,CLOSED,2026-03-03,2026-03-06
WORK-ORDER-10138,AIRCRAFT-358,Fix communication equipment and systems,MEDIUM,CLOSED,2026-03-03,2026-03-07
WORK-ORDER-10139,AIRCRAFT-417,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-20,2026-11-25
WORK-ORDER-1014,AIRCRAFT-474,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-04-26,2026-04-30
WORK-ORDER-10140,AIRCRAFT-407,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-20,2026-11-21
WORK-ORDER-10141,AIRCRAFT-407,Repair navigation system components,HIGH,CLOSED,2026-11-20,2026-11-23
WORK-ORDER-10142,AIRCRAFT-25,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-20,2026-11-21
WORK-ORDER-10143,AIRCRAFT-25,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-20,2026-11-25
WORK-ORDER-10144,AIRCRAFT-25,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-20,2026-11-25
WORK-ORDER-10145,AIRCRAFT-25,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-20,2026-11-22
WORK-ORDER-10146,AIRCRAFT-237,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-20,2026-11-24
WORK-ORDER-10147,AIRCRAFT-127,Repair navigation system components,HIGH,CLOSED,2026-11-20,2026-11-24
WORK-ORDER-10148,AIRCRAFT-488,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-20,2026-11-23
WORK-ORDER-10149,AIRCRAFT-488,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-20,2026-11-23
WORK-ORDER-1015,AIRCRAFT-474,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-04-26,2026-04-30
WORK-ORDER-10150,AIRCRAFT-488,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-20,2026-11-22
WORK-ORDER-10151,AIRCRAFT-207,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-20,2026-11-25
WORK-ORDER-10152,AIRCRAFT-207,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-20,2026-11-25
WORK-ORDER-10153,AIRCRAFT-207,Repair navigation system components,HIGH,CLOSED,2026-11-20,2026-11-25
WORK-ORDER-10154,AIRCRAFT-207,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-20,2026-11-22
WORK-ORDER-10155,AIRCRAFT-219,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-20,2026-11-21
WORK-ORDER-10156,AIRCRAFT-219,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-20,2026-11-24
WORK-ORDER-10157,AIRCRAFT-114,Repair navigation system components,HIGH,CLOSED,2026-11-21,2026-11-22
WORK-ORDER-10158,AIRCRAFT-114,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-21,2026-11-26
WORK-ORDER-10159,AIRCRAFT-114,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-21,2026-11-25
WORK-ORDER-1016,AIRCRAFT-474,Repair navigation system components,HIGH,CLOSED,2026-04-26,2026-04-29
WORK-ORDER-10160,AIRCRAFT-114,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-21,2026-11-24
WORK-ORDER-10161,AIRCRAFT-114,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-21,2026-11-23
WORK-ORDER-10162,AIRCRAFT-36,Complete delayed maintenance procedures,LOW,CLOSED,2026-03-03,2026-03-06
WORK-ORDER-10163,AIRCRAFT-36,Fix communication equipment and systems,MEDIUM,CLOSED,2026-03-03,2026-03-05
WORK-ORDER-10164,AIRCRAFT-336,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-22,2026-11-26
WORK-ORDER-10165,AIRCRAFT-336,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-22,2026-11-26
WORK-ORDER-10166,AIRCRAFT-336,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-22,2026-11-24
WORK-ORDER-10167,AIRCRAFT-136,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-22,2026-11-27
WORK-ORDER-10168,AIRCRAFT-136,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-22,2026-11-25
WORK-ORDER-10169,AIRCRAFT-136,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-22,2026-11-24
WORK-ORDER-1017,AIRCRAFT-474,Conduct security inspection and clearance,HIGH,CLOSED,2026-04-26,2026-04-28
WORK-ORDER-10170,AIRCRAFT-136,Repair navigation system components,HIGH,CLOSED,2026-11-22,2026-11-23
WORK-ORDER-10171,AIRCRAFT-136,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-22,2026-11-27
WORK-ORDER-10172,AIRCRAFT-260,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-22,2026-11-25
WORK-ORDER-10173,AIRCRAFT-260,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-22,2026-11-25
WORK-ORDER-10174,AIRCRAFT-235,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-22,2026-11-27
WORK-ORDER-10175,AIRCRAFT-235,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-22,2026-11-23
WORK-ORDER-10176,AIRCRAFT-235,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-22,2026-11-25
WORK-ORDER-10177,AIRCRAFT-235,Repair navigation system components,HIGH,CLOSED,2026-11-22,2026-11-27
WORK-ORDER-10178,AIRCRAFT-268,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-22,2026-11-26
WORK-ORDER-10179,AIRCRAFT-268,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-22,2026-11-24
WORK-ORDER-1018,AIRCRAFT-474,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-04-26,2026-04-28
WORK-ORDER-10180,AIRCRAFT-268,Repair navigation system components,HIGH,CLOSED,2026-11-22,2026-11-26
WORK-ORDER-10181,AIRCRAFT-268,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-22,2026-11-25
WORK-ORDER-10182,AIRCRAFT-268,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-22,2026-11-26
WORK-ORDER-10183,AIRCRAFT-300,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-23,2026-11-24
WORK-ORDER-10184,AIRCRAFT-300,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-23,2026-11-26
WORK-ORDER-10185,AIRCRAFT-447,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-23,2026-11-25
WORK-ORDER-10186,AIRCRAFT-399,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-23,2026-11-25
WORK-ORDER-10187,AIRCRAFT-407,Repair navigation system components,HIGH,CLOSED,2026-03-03,2026-03-05
WORK-ORDER-10188,AIRCRAFT-4,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-23,2026-11-24
WORK-ORDER-10189,AIRCRAFT-4,Repair navigation system components,HIGH,CLOSED,2026-11-23,2026-11-25
WORK-ORDER-1019,AIRCRAFT-392,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-04-26,2026-05-01
WORK-ORDER-10190,AIRCRAFT-4,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-23,2026-11-27
WORK-ORDER-10191,AIRCRAFT-4,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-23,2026-11-27
WORK-ORDER-10192,AIRCRAFT-4,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-23,2026-11-26
WORK-ORDER-10193,AIRCRAFT-281,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-23,2026-11-25
WORK-ORDER-10194,AIRCRAFT-281,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-23,2026-11-24
WORK-ORDER-10195,AIRCRAFT-281,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-23,2026-11-28
WORK-ORDER-10196,AIRCRAFT-62,Repair navigation system components,HIGH,CLOSED,2026-11-23,2026-11-27
WORK-ORDER-10197,AIRCRAFT-269,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-23,2026-11-26
WORK-ORDER-10198,AIRCRAFT-269,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-23,2026-11-27
WORK-ORDER-10199,AIRCRAFT-269,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-23,2026-11-27
WORK-ORDER-102,AIRCRAFT-141,Fix communication equipment and systems,MEDIUM,CLOSED,2026-04-09,2026-04-14
