id,aircraft.id,description,startDate,endDate,status,origin.id,destination.id
OPERATION-1119,AIRCRAFT-211,Test,2026-04-14,2026-04-19,In Progress,BASE-6,BASE-3
OPERATION-112,AIRCRAFT-126,Training,2026-02-04,2026-02-09,In Progress,BASE-6,BASE-4
OPERATION-1120,AIRCRAFT-278,Training,2026-04-14,2026-04-22,Planned,BASE-9,BASE-1
OPERATION-1121,AIRCRAFT-167,Mission,2026-04-14,2026-04-24,Completed,BASE-3,BASE-8
OPERATION-1122,AIRCRAFT-396,Mission,2026-04-14,2026-04-27,Completed,BASE-8,BASE-3
OPERATION-1123,AIRCRAFT-96,Test,2026-04-14,2026-04-20,In Progress,BASE-1,BASE-5
OPERATION-1124,AIRCRAFT-137,Mission,2026-04-14,2026-04-17,In Progress,BASE-7,BASE-8
OPERATION-1125,AIRCRAFT-462,Test,2026-04-14,2026-04-23,Completed,BASE-4,BASE-7
OPERATION-1126,AIRCRAFT-460,Training,2026-04-14,2026-04-26,Planned,BASE-9,BASE-7
OPERATION-1127,AIRCRAFT-323,Training,2026-04-14,2026-04-14,In Progress,BASE-6,BASE-9
OPERATION-1128,AIRCRAFT-177,Test,2026-04-14,2026-04-15,Completed,BASE-6,BASE-7
OPERATION-1129,AIRCRAFT-365,Training,2026-04-14,2026-04-22,In Progress,BASE-2,BASE-5
OPERATION-113,AIRCRAFT-291,Training,2026-02-04,2026-02-18,In Progress,BASE-5,BASE-7
OPERATION-1130,AIRCRAFT-454,Test,2026-04-14,2026-04-26,Completed,BASE-4,BASE-10
OPERATION-1131,AIRCRAFT-57,Training,2026-04-14,2026-04-20,Completed,BASE-3,BASE-6
OPERATION-1132,AIRCRAFT-103,Mission,2026-04-14,2026-04-14,Planned,BASE-7,BASE-2
OPERATION-1133,AIRCRAFT-447,Training,2026-04-14,2026-04-17,Planned,BASE-5,BASE-5
OPERATION-1134,AIRCRAFT-124,Mission,2026-04-14,2026-04-20,Completed,BASE-2,BASE-1
OPERATION-1135,AIRCRAFT-199,Test,2026-04-14,2026-04-20,Planned,BASE-2,BASE-10
OPERATION-1136,AIRCRAFT-4,Test,2026-04-14,2026-04-18,Completed,BASE-10,BASE-3
OPERATION-1137,AIRCRAFT-243,Training,2026-04-15,2026-04-18,In Progress,BASE-8,BASE-2
OPERATION-1138,AIRCRAFT-310,Training,2026-04-15,2026-04-29,Completed,BASE-6,BASE-5
OPERATION-1139,AIRCRAFT-157,Training,2026-04-15,2026-04-20,Planned,BASE-7,BASE-7
OPERATION-114,AIRCRAFT-149,Training,2026-02-04,2026-02-12,Planned,BASE-9,BASE-1
OPERATION-1140,AIRCRAFT-147,Training,2026-04-15,2026-04-25,In Progress,BASE-3,BASE-8
OPERATION-1141,AIRCRAFT-483,Mission,2026-04-15,2026-04-17,Completed,BASE-7,BASE-3
OPERATION-1142,AIRCRAFT-191,Mission,2026-04-15,2026-04-30,Completed,BASE-7,BASE-4
OPERATION-1143,AIRCRAFT-440,Test,2026-04-15,2026-04-18,In Progress,BASE-2,BASE-1
OPERATION-1144,AIRCRAFT-158,Test,2026-04-15,2026-04-17,Completed,BASE-5,BASE-8
OPERATION-1145,AIRCRAFT-493,Mission,2026-04-15,2026-04-15,Completed,BASE-1,BASE-1
OPERATION-1146,AIRCRAFT-31,Mission,2026-04-15,2026-04-27,Completed,BASE-6,BASE-7
OPERATION-1147,AIRCRAFT-56,Test,2026-04-15,2026-04-15,In Progress,BASE-8,BASE-7
OPERATION-1148,AIRCRAFT-155,Test,2026-04-15,2026-04-27,Planned,BASE-1,BASE-7
OPERATION-1149,AIRCRAFT-202,Test,2026-04-15,2026-04-30,Completed,BASE-6,BASE-6
OPERATION-115,AIRCRAFT-234,Test,2026-02-04,2026-02-15,Planned,BASE-1,BASE-1
OPERATION-1150,AIRCRAFT-419,Mission,2026-04-15,2026-04-24,Completed,BASE-2,BASE-6
OPERATION-1151,AIRCRAFT-171,Training,2026-04-15,2026-04-25,In Progress,BASE-4,BASE-3
OPERATION-1152,AIRCRAFT-407,Test,2026-04-15,2026-04-16,Planned,BASE-5,BASE-7
OPERATION-1153,AIRCRAFT-39,Training,2026-04-15,2026-04-18,Planned,BASE-8,BASE-4
OPERATION-1154,AIRCRAFT-127,Mission,2026-04-15,2026-04-19,Planned,BASE-10,BASE-4
OPERATION-1155,AIRCRAFT-416,Mission,2026-04-15,2026-04-30,Completed,BASE-5,BASE-8
OPERATION-1156,AIRCRAFT-11,Mission,2026-04-15,2026-04-29,In Progress,BASE-1,BASE-6
OPERATION-1157,AIRCRAFT-431,Mission,2026-04-15,2026-04-16,Planned,BASE-9,BASE-8
OPERATION-1158,AIRCRAFT-296,Mission,2026-04-15,2026-04-19,Planned,BASE-3,BASE-8
OPERATION-1159,AIRCRAFT-492,Test,2026-04-15,2026-04-15,Planned,BASE-4,BASE-3
OPERATION-116,AIRCRAFT-109,Test,2026-02-05,2026-02-11,Planned,BASE-4,BASE-3
OPERATION-1160,AIRCRAFT-250,Test,2026-04-15,2026-04-15,Planned,BASE-5,BASE-2
OPERATION-1161,AIRCRAFT-249,Test,2026-04-15,2026-04-29,Planned,BASE-2,BASE-2
OPERATION-1162,AIRCRAFT-287,Mission,2026-04-15,2026-04-30,Planned,BASE-7,BASE-6
OPERATION-1163,AIRCRAFT-379,Mission,2026-04-15,2026-04-27,Completed,BASE-10,BASE-9
OPERATION-1164,AIRCRAFT-375,Mission,2026-04-15,2026-04-19,Planned,BASE-10,BASE-3
OPERATION-1165,AIRCRAFT-154,Mission,2026-04-15,2026-04-25,In Progress,BASE-3,BASE-7
OPERATION-1166,AIRCRAFT-82,Mission,2026-04-16,2026-04-27,In Progress,BASE-4,BASE-10
OPERATION-1167,AIRCRAFT-205,Mission,2026-04-16,2026-04-17,Completed,BASE-10,BASE-7
OPERATION-1168,AIRCRAFT-110,Training,2026-04-16,2026-04-21,Planned,BASE-1,BASE-1
OPERATION-1169,AIRCRAFT-173,Test,2026-04-16,2026-04-21,Completed,BASE-10,BASE-5
OPERATION-117,AIRCRAFT-499,Mission,2026-02-05,2026-02-20,Completed,BASE-4,BASE-8
OPERATION-1170,AIRCRAFT-479,Test,2026-04-16,2026-04-29,Planned,BASE-4,BASE-3
OPERATION-1171,AIRCRAFT-60,Training,2026-04-16,2026-04-24,In Progress,BASE-4,BASE-3
OPERATION-1172,AIRCRAFT-241,Test,2026-04-17,2026-04-18,In Progress,BASE-10,BASE-2
OPERATION-1173,AIRCRAFT-372,Training,2026-04-17,2026-04-26,Planned,BASE-9,BASE-4
OPERATION-1174,AIRCRAFT-194,Test,2026-04-17,2026-04-23,Planned,BASE-10,BASE-6
OPERATION-1175,AIRCRAFT-465,Test,2026-04-17,2026-04-24,Completed,BASE-4,BASE-5
OPERATION-1176,AIRCRAFT-259,Mission,2026-04-17,2026-04-18,Planned,BASE-8,BASE-8
OPERATION-1177,AIRCRAFT-228,Test,2026-04-17,2026-04-22,Planned,BASE-1,BASE-6
OPERATION-1178,AIRCRAFT-27,Training,2026-04-17,2026-04-26,In Progress,BASE-6,BASE-10
OPERATION-1179,AIRCRAFT-131,Mission,2026-04-17,2026-05-01,Completed,BASE-1,BASE-9
OPERATION-118,AIRCRAFT-317,Mission,2026-02-05,2026-02-13,Completed,BASE-10,BASE-2
OPERATION-1180,AIRCRAFT-23,Mission,2026-04-17,2026-04-22,In Progress,BASE-9,BASE-2
OPERATION-1181,AIRCRAFT-290,Test,2026-04-17,2026-04-19,In Progress,BASE-10,BASE-10
OPERATION-1182,AIRCRAFT-437,Mission,2026-04-17,2026-04-27,Completed,BASE-6,BASE-4
OPERATION-1183,AIRCRAFT-363,Mission,2026-04-17,2026-04-20,Planned,BASE-4,BASE-7
OPERATION-1184,AIRCRAFT-402,Mission,2026-04-17,2026-04-23,Planned,BASE-8,BASE-10
OPERATION-1185,AIRCRAFT-143,Training,2026-04-17,2026-05-02,Planned,BASE-4,BASE-10
OPERATION-1186,AIRCRAFT-252,Training,2026-04-17,2026-05-01,In Progress,BASE-3,BASE-8
OPERATION-1187,AIRCRAFT-394,Training,2026-04-17,2026-04-23,Planned,BASE-6,BASE-3
OPERATION-1188,AIRCRAFT-148,Training,2026-04-17,2026-04-18,Planned,BASE-2,BASE-8
OPERATION-1189,AIRCRAFT-449,Mission,2026-04-17,2026-05-01,In Progress,BASE-4,BASE-5
OPERATION-119,AIRCRAFT-284,Mission,2026-02-05,2026-02-10,Completed,BASE-1,BASE-5
OPERATION-1190,AIRCRAFT-246,Test,2026-04-17,2026-04-22,Completed,BASE-4,BASE-2
OPERATION-1191,AIRCRAFT-84,Training,2026-04-17,2026-04-30,Planned,BASE-10,BASE-8
OPERATION-1192,AIRCRAFT-316,Mission,2026-04-18,2026-05-02,Completed,BASE-7,BASE-4
OPERATION-1193,AIRCRAFT-353,Training,2026-04-18,2026-04-25,Completed,BASE-4,BASE-10
OPERATION-1194,AIRCRAFT-101,Training,2026-04-18,2026-04-22,Planned,BASE-1,BASE-8
OPERATION-1195,AIRCRAFT-434,Test,2026-04-18,2026-04-19,In Progress,BASE-8,BASE-2
OPERATION-1196,AIRCRAFT-495,Mission,2026-04-18,2026-05-02,Planned,BASE-9,BASE-1
OPERATION-1197,AIRCRAFT-272,Mission,2026-04-18,2026-05-01,In Progress,BASE-5,BASE-4
OPERATION-1198,AIRCRAFT-113,Training,2026-04-18,2026-04-20,Completed,BASE-5,BASE-3
OPERATION-1199,AIRCRAFT-12,Training,2026-04-18,2026-05-02,In Progress,BASE-3,BASE-7
OPERATION-12,AIRCRAFT-23,Training,2026-01-31,2026-02-12,Completed,BASE-6,BASE-3
OPERATION-120,AIRCRAFT-340,Test,2026-02-05,2026-02-17,Planned,BASE-2,BASE-10
OPERATION-1200,AIRCRAFT-393,Test,2026-04-18,2026-04-23,In Progress,BASE-1,BASE-2
OPERATION-1201,AIRCRAFT-366,Test,2026-04-18,2026-04-30,Planned,BASE-5,BASE-7
OPERATION-1202,AIRCRAFT-91,Test,2026-04-18,2026-04-26,Planned,BASE-2,BASE-10
OPERATION-1203,AIRCRAFT-149,Test,2026-04-18,2026-04-28,Completed,BASE-6,BASE-1
OPERATION-1204,AIRCRAFT-41,Training,2026-04-18,2026-04-21,In Progress,BASE-10,BASE-1
OPERATION-1205,AIRCRAFT-397,Mission,2026-04-18,2026-04-29,Completed,BASE-9,BASE-2
OPERATION-1206,AIRCRAFT-212,Training,2026-04-18,2026-04-24,Planned,BASE-9,BASE-2
OPERATION-1207,AIRCRAFT-273,Test,2026-04-18,2026-05-03,Planned,BASE-6,BASE-6
OPERATION-1208,AIRCRAFT-64,Test,2026-04-18,2026-04-26,In Progress,BASE-5,BASE-1
OPERATION-1209,AIRCRAFT-403,Training,2026-04-18,2026-04-20,In Progress,BASE-8,BASE-9
OPERATION-121,AIRCRAFT-164,Test,2026-02-05,2026-02-12,In Progress,BASE-10,BASE-2
OPERATION-1210,AIRCRAFT-49,Test,2026-04-18,2026-04-21,Completed,BASE-9,BASE-5
OPERATION-1211,AIRCRAFT-400,Test,2026-04-18,2026-05-02,Completed,BASE-2,BASE-4
OPERATION-1212,AIRCRAFT-175,Mission,2026-04-18,2026-05-02,In Progress,BASE-3,BASE-5
OPERATION-1213,AIRCRAFT-190,Mission,2026-04-18,2026-04-20,In Progress,BASE-2,BASE-3
OPERATION-1214,AIRCRAFT-226,Mission,2026-04-18,2026-05-03,Completed,BASE-1,BASE-5
OPERATION-1215,AIRCRAFT-210,Training,2026-04-18,2026-05-01,In Progress,BASE-7,BASE-8
OPERATION-1216,AIRCRAFT-344,Mission,2026-04-18,2026-04-18,Planned,BASE-1,BASE-4
OPERATION-1217,AIRCRAFT-451,Test,2026-04-18,2026-04-28,In Progress,BASE-6,BASE-8
OPERATION-1218,AIRCRAFT-497,Training,2026-04-18,2026-05-02,Completed,BASE-3,BASE-5
OPERATION-1219,AIRCRAFT-276,Training,2026-04-19,2026-04-27,In Progress,BASE-5,BASE-1
OPERATION-122,AIRCRAFT-308,Test,2026-02-05,2026-02-06,In Progress,BASE-6,BASE-2
OPERATION-1220,AIRCRAFT-368,Training,2026-04-19,2026-04-23,In Progress,BASE-3,BASE-10
OPERATION-1221,AIRCRAFT-74,Training,2026-04-19,2026-04-24,Planned,BASE-3,BASE-3
OPERATION-1222,AIRCRAFT-283,Mission,2026-04-19,2026-04-24,Planned,BASE-6,BASE-10
OPERATION-1223,AIRCRAFT-445,Training,2026-04-19,2026-04-23,In Progress,BASE-3,BASE-4
OPERATION-1224,AIRCRAFT-340,Training,2026-04-19,2026-04-20,Planned,BASE-6,BASE-8
OPERATION-1225,AIRCRAFT-66,Training,2026-04-20,2026-04-25,Planned,BASE-1,BASE-7
OPERATION-1226,AIRCRAFT-21,Training,2026-04-20,2026-05-05,In Progress,BASE-3,BASE-1
OPERATION-1227,AIRCRAFT-321,Training,2026-04-20,2026-04-30,In Progress,BASE-10,BASE-3
OPERATION-1228,AIRCRAFT-356,Test,2026-04-20,2026-05-04,Planned,BASE-8,BASE-1
OPERATION-1229,AIRCRAFT-88,Mission,2026-04-20,2026-04-24,In Progress,BASE-1,BASE-7
OPERATION-123,AIRCRAFT-105,Training,2026-02-05,2026-02-15,In Progress,BASE-2,BASE-7
OPERATION-1230,AIRCRAFT-45,Training,2026-04-20,2026-04-27,Planned,BASE-6,BASE-1
OPERATION-1231,AIRCRAFT-67,Mission,2026-04-20,2026-04-26,In Progress,BASE-4,BASE-1
